,OBJECTID,LGDNAME,LGDCode,popn,Shape_Leng,Shape_Area,lgd_area,Suitable,Unsuitable,Suitable_area,Unsuitable_area,pc_coverage
0,1.0,Antrim and Newtownabbey,N09000001,141428,165113.558770533,727889478.4072739,727.8894784072717,4251.0,68492.0,42.51,684.92,5.840172342237736
1,2.0,Armagh City Banbridge and Craigavon,N09000002,209276,242967.6966471291,1435980450.8994796,1435.9804508994823,9657.0,133845.0,96.57000000000001,1338.45,6.72502191373912
2,3.0,Belfast,N09000003,337885,65905.2209828036,137702071.79374224,137.70207179374205,1096.0,12663.0,10.96,126.63000000000001,7.959212128933331
3,4.0,Causeway Coast and Glens,N09000004,143541,381602.7818032185,1983851818.985174,1983.851818985163,19679.0,178604.0,196.79,1786.04,9.919591681029265
4,5.0,Derry City and Strabane,N09000005,150134,271234.98834749503,1248976335.6417863,1248.9763356417905,16427.0,108393.0,164.27,1083.93,13.152370890645365
5,6.0,Fermanagh and Omagh,N09000006,115794,426211.8235484583,3005965778.2658777,3005.965778265859,33307.0,267120.0,333.07,2671.2000000000003,11.080299130755506
6,7.0,Lisburn and Castlereagh,N09000007,142587,167365.43158590797,510311901.62729454,510.31190162729473,2968.0,48052.0,29.68,480.52,5.816050910307149
7,8.0,Mid and East Antrim,N09000008,137427,234832.2583239216,1061065213.5572733,1061.0652135572707,9845.0,96217.0,98.45,962.1700000000001,9.278411801847861
8,9.0,Mid Ulster,N09000009,145391,318235.7835747867,1955056613.6862187,1955.0566136862174,17803.0,177602.0,178.03,1776.02,9.106130162866652
9,10.0,Newry Mourne and Down,N09000010,178794,380041.04023368674,1681856445.713865,1681.856445713865,12208.0,155882.0,122.08,1558.82,7.258645665693725
10,11.0,Ards and North Down,N09000011,159893,204719.71711849608,566628185.4575965,566.6281854576005,2798.0,53842.0,27.98,538.42,4.937982387410497
